transaction_id,customer_id,product_id,quantity,unit_price,discount_rate,total_amount,transaction_date,payment_method,status
TXN_000001,CUST_0469,PROD_0049,3,54.17,0.03,157.63,2025-05-24,Credit Card,Cancelled
TXN_000002,CUST_0858,PROD_0173,5,488.25,0.04,2343.6,2025-05-09,Bank Transfer,Pending
TXN_000003,CUST_0675,PROD_0151,5,206.66,0.04,991.97,2025-05-22,Credit Card,Cancelled
TXN_000004,CUST_0754,PROD_0013,5,707.49,0.28,2546.96,2025-05-11,Bank Transfer,Cancelled
TXN_000005,CUST_0800,PROD_0046,5,494.21,0.05,2347.5,2025-05-11,Debit Card,Completed
TXN_000006,CUST_0397,PROD_0169,5,699.21,0.18,2866.76,2025-05-27,Bank Transfer,Pending
TXN_000007,CUST_0624,PROD_0178,2,438.52,0.08,806.88,2025-05-27,E-wallet,Pending
TXN_000008,CUST_0825,PROD_0035,2,985.42,0.12,1734.34,2025-05-15,E-wallet,Cancelled
TXN_000009,CUST_0561,PROD_0081,5,793.58,0.19,3214.0,2025-05-31,Debit Card,Cancelled
TXN_000010,CUST_0732,PROD_0075,3,344.49,0.28,744.1,2025-06-02,Debit Card,Cancelled
TXN_000011,CUST_0556,PROD_0178,3,438.52,0.21,1039.29,2025-05-13,E-wallet,Cancelled
TXN_000012,CUST_0492,PROD_0150,5,126.56,0.28,455.62,2025-05-15,Bank Transfer,Cancelled
TXN_000013,CUST_0766,PROD_0137,3,996.18,0.26,2211.52,2025-05-24,Credit Card,Cancelled
TXN_000014,CUST_0110,PROD_0007,4,99.35,0.04,381.5,2025-05-16,Credit Card,Completed
TXN_000015,CUST_0274,PROD_0193,2,564.55,0.3,790.37,2025-05-16,E-wallet,Completed
TXN_000016,CUST_0860,PROD_0016,3,652.69,0.06,1840.59,2025-05-20,Credit Card,Pending
TXN_000017,CUST_0834,PROD_0116,1,377.97,0.18,309.94,2025-05-16,Debit Card,Cancelled
TXN_000018,CUST_0663,PROD_0144,4,57.75,0.07,214.83,2025-05-12,E-wallet,Cancelled
TXN_000019,CUST_0681,PROD_0013,4,707.49,0.12,2490.36,2025-05-12,E-wallet,Cancelled
TXN_000020,CUST_0056,PROD_0004,3,37.92,0.06,106.93,2025-05-10,Bank Transfer,Completed
TXN_000021,CUST_0934,PROD_0163,3,853.48,0.23,1971.54,2025-05-20,Debit Card,Cancelled
TXN_000022,CUST_0988,PROD_0050,3,233.98,0.13,610.69,2025-05-16,Credit Card,Completed
TXN_000023,CUST_0986,PROD_0045,5,845.33,0.04,4057.58,2025-06-05,Bank Transfer,Pending
TXN_000024,CUST_0570,PROD_0068,2,925.68,0.05,1758.79,2025-05-10,E-wallet,Completed
TXN_000025,CUST_0339,PROD_0120,2,534.54,0.01,1058.39,2025-05-08,E-wallet,Cancelled
TXN_000026,CUST_0053,PROD_0199,5,115.89,0.25,434.59,2025-05-28,Bank Transfer,Cancelled
TXN_000027,CUST_0564,PROD_0092,1,650.91,0.24,494.69,2025-05-27,Debit Card,Completed
TXN_000028,CUST_0534,PROD_0018,5,384.6,0.05,1826.85,2025-05-20,Bank Transfer,Completed
TXN_000029,CUST_0358,PROD_0057,2,575.51,0.2,920.82,2025-05-27,E-wallet,Pending
TXN_000030,CUST_0224,PROD_0193,5,564.55,0.16,2371.11,2025-05-20,Credit Card,Completed
TXN_000031,CUST_0685,PROD_0089,4,356.26,0.07,1325.29,2025-05-17,Debit Card,Completed
TXN_000032,CUST_0699,PROD_0083,4,38.66,0.27,112.89,2025-06-03,Bank Transfer,Pending
TXN_000033,CUST_0554,PROD_0186,3,803.25,0.01,2385.65,2025-05-21,E-wallet,Cancelled
TXN_000034,CUST_0823,PROD_0131,4,27.74,0.15,94.32,2025-05-28,Debit Card,Pending
TXN_000035,CUST_0527,PROD_0022,1,643.25,0.05,611.09,2025-05-13,Credit Card,Cancelled
TXN_000036,CUST_0068,PROD_0054,2,424.45,0.26,628.19,2025-05-24,Credit Card,Completed
TXN_000037,CUST_0551,PROD_0180,4,840.64,0.19,2723.67,2025-06-04,Debit Card,Completed
TXN_000038,CUST_0471,PROD_0184,3,511.86,0.01,1520.22,2025-06-04,Credit Card,Completed
TXN_000039,CUST_0814,PROD_0065,5,788.69,0.02,3864.58,2025-05-11,Debit Card,Pending
TXN_000040,CUST_0418,PROD_0100,4,999.44,0.19,3238.19,2025-05-24,E-wallet,Completed
TXN_000041,CUST_0399,PROD_0173,1,488.25,0.16,410.13,2025-05-17,Credit Card,Cancelled
